name,width,height,token,role,tintHex,imageType,borderLeft,borderBottom,borderRight,borderTop,pivotX,pivotY,x,y,unityY
stat_fill_critical,256,10,Critical,Заполнение: critical,#F05245FF,Filled,0,0,0,0,0.5,0.5,8,708,306
durability_track,64,6,Bar_Track,Фон прочности,#2D2A28FF,Sliced,2,2,2,2,0.5,0.5,272,708,310
durability_fill,64,6,Experience,Прочность,#F8C854FF,Filled,0,0,0,0,0.5,0.5,344,708,310
keycap_frame,36,36,Line_Neutral,Рамка подсказки клавиши,#C2C1C1FF,Sliced,4,4,4,4,0.5,0.5,416,708,280
quick_number_back,20,24,Text_Primary,Подложка цифры быстрого слота,#EFEFEFFF,Sliced,2,2,2,2,0.5,0.5,460,708,292
button_frame,80,36,Line_Quiet,Компактная рамка действия,#66605ABE,Sliced,4,4,4,4,0.5,0.5,488,708,280
quality_marker,4,16,Text_Primary,Метка качества: цвет задаётся игрой,#EFEFEFFF,Simple,0,0,0,0,0.5,0.5,576,708,300
icon_sort,32,32,Accent_Active,Иконка: sort,#F9E25DFF,Simple,0,0,0,0,0.5,0.5,588,708,284
icon_chevron_down,32,32,Text_Primary,Иконка: chevron_down,#EFEFEFFF,Simple,0,0,0,0,0.5,0.5,628,708,284
icon_chevron_right,32,32,Text_Primary,Иконка: chevron_right,#EFEFEFFF,Simple,0,0,0,0,0.5,0.5,668,708,284
icon_health,32,32,Health,Иконка: health,#D23C3BFF,Simple,0,0,0,0,0.5,0.5,708,708,284
icon_stamina,32,32,Icon_Neutral,Иконка: stamina,#F4EBC7FF,Simple,0,0,0,0,0.5,0.5,748,708,284
icon_hunger,32,32,Icon_Neutral,Иконка: hunger,#F4EBC7FF,Simple,0,0,0,0,0.5,0.5,788,708,284
icon_thirst,32,32,Thirst,Иконка: thirst,#399BF9FF,Simple,0,0,0,0,0.5,0.5,828,708,284
icon_infection,32,32,Infection_Icon,Иконка: infection,#F9E25DFF,Simple,0,0,0,0,0.5,0.5,868,708,284
icon_level,32,32,Icon_Neutral,Иконка: level,#F4EBC7FF,Simple,0,0,0,0,0.5,0.5,908,708,284
icon_armor,32,32,Icon_Neutral,Иконка: armor,#F4EBC7FF,Simple,0,0,0,0,0.5,0.5,948,708,284
icon_cold,32,32,Icon_Neutral,Иконка: cold,#F4EBC7FF,Simple,0,0,0,0,0.5,0.5,8,752,240
icon_heat,32,32,Icon_Neutral,Иконка: heat,#F4EBC7FF,Simple,0,0,0,0,0.5,0.5,48,752,240
icon_speed,32,32,Icon_Neutral,Иконка: speed,#F4EBC7FF,Simple,0,0,0,0,0.5,0.5,88,752,240
icon_noise,32,32,Icon_Neutral,Иконка: noise,#F4EBC7FF,Simple,0,0,0,0,0.5,0.5,128,752,240
icon_clock,32,32,Icon_Neutral,Иконка: clock,#F4EBC7FF,Simple,0,0,0,0,0.5,0.5,168,752,240
icon_weight,32,32,Icon_Neutral,Иконка: weight,#F4EBC7FF,Simple,0,0,0,0,0.5,0.5,208,752,240
icon_medical,32,32,Icon_Neutral,Иконка: medical,#F4EBC7FF,Simple,0,0,0,0,0.5,0.5,248,752,240
icon_drop,32,32,Icon_Neutral,Иконка: drop,#F4EBC7FF,Simple,0,0,0,0,0.5,0.5,288,752,240
icon_close,32,32,Text_Secondary,Иконка: close,#ABABADFF,Simple,0,0,0,0,0.5,0.5,328,752,240
